Date,Timestamp,Parameter,Value
2025-07-07,2025-07-07 22:00:00,CDP,9.0
2025-07-07,2025-07-07 23:00:00,CDP,9.0
2025-07-08,2025-07-08 00:00:00,CDP,9.0
2025-07-08,2025-07-08 01:00:00,CDP,9.0
2025-07-08,2025-07-08 02:00:00,CDP,8.0
2025-07-08,2025-07-08 03:00:00,CDP,8.0
2025-07-08,2025-07-08 04:00:00,CDP,8.0
2025-07-08,2025-07-08 05:00:00,CDP,8.0
2025-07-08,2025-07-08 06:00:00,CDP,8.0
2025-07-08,2025-07-08 07:00:00,CDP,8.0
2025-07-08,2025-07-08 08:00:00,CDP,8.0
2025-07-08,2025-07-08 09:00:00,CDP,8.0
2025-07-08,2025-07-08 10:00:00,CDP,9.0
2025-07-08,2025-07-08 11:00:00,CDP,10.0
2025-07-08,2025-07-08 12:00:00,CDP,10.0
2025-07-08,2025-07-08 13:00:00,CDP,10.0
2025-07-08,2025-07-08 14:00:00,CDP,10.0
2025-07-08,2025-07-08 15:00:00,CDP,10.0
2025-07-08,2025-07-08 16:00:00,CDP,10.0
2025-07-08,2025-07-08 17:00:00,CDP,10.0
2025-07-08,2025-07-08 18:00:00,CDP,10.0
2025-07-08,2025-07-08 19:00:00,CDP,10.0
2025-07-08,2025-07-08 20:00:00,CDP,9.0
2025-07-08,2025-07-08 21:00:00,CDP,9.0
2025-07-08,2025-07-08 22:00:00,CDP,10.0
2025-07-08,2025-07-08 23:00:00,CDP,9.0
2025-07-09,2025-07-09 00:00:00,CDP,9.0
2025-07-09,2025-07-09 01:00:00,CDP,9.0
2025-07-09,2025-07-09 02:00:00,CDP,9.0
2025-07-09,2025-07-09 03:00:00,CDP,9.0
2025-07-09,2025-07-09 04:00:00,CDP,9.0
2025-07-09,2025-07-09 05:00:00,CDP,9.0
2025-07-09,2025-07-09 06:00:00,CDP,9.0
2025-07-09,2025-07-09 07:00:00,CDP,9.0
2025-07-09,2025-07-09 08:00:00,CDP,9.0
2025-07-09,2025-07-09 09:00:00,CDP,10.0
2025-07-09,2025-07-09 10:00:00,CDP,9.0
2025-07-09,2025-07-09 11:00:00,CDP,9.0
2025-07-09,2025-07-09 12:00:00,CDP,10.0
2025-07-09,2025-07-09 13:00:00,CDP,10.0
2025-07-09,2025-07-09 14:00:00,CDP,10.0
2025-07-09,2025-07-09 15:00:00,CDP,10.0
2025-07-09,2025-07-09 16:00:00,CDP,109.0
2025-07-09,2025-07-09 17:00:00,CDP,10.0
2025-07-09,2025-07-09 18:00:00,CDP,10.0
2025-07-09,2025-07-09 19:00:00,CDP,9.0
2025-07-09,2025-07-09 20:00:00,CDP,9.0
2025-07-09,2025-07-09 21:00:00,CDP,9.0
2025-07-09,2025-07-09 22:00:00,CDP,9.0
2025-07-09,2025-07-09 23:00:00,CDP,9.0
2025-07-10,2025-07-10 00:00:00,CDP,9.0
2025-07-10,2025-07-10 01:00:00,CDP,9.0
2025-07-10,2025-07-10 02:00:00,CDP,8.0
2025-07-10,2025-07-10 03:00:00,CDP,8.0
2025-07-10,2025-07-10 04:00:00,CDP,8.0
2025-07-10,2025-07-10 05:00:00,CDP,7.0
2025-07-12,2025-07-12 10:00:00,CDP,8.0
2025-07-12,2025-07-12 11:00:00,CDP,10.0
2025-07-12,2025-07-12 12:00:00,CDP,10.0
2025-07-12,2025-07-12 13:00:00,CDP,8.0
2025-07-12,2025-07-12 14:00:00,CDP,10.0
2025-07-12,2025-07-12 15:00:00,CDP,10.0
2025-07-12,2025-07-12 16:00:00,CDP,10.0
2025-07-12,2025-07-12 17:00:00,CDP,10.0
2025-07-12,2025-07-12 18:00:00,CDP,10.0
2025-07-12,2025-07-12 19:00:00,CDP,10.0
2025-07-12,2025-07-12 20:00:00,CDP,10.0
2025-07-12,2025-07-12 21:00:00,CDP,10.0
2025-07-12,2025-07-12 22:00:00,CDP,10.0
2025-07-12,2025-07-12 23:00:00,CDP,10.0
2025-07-18,2025-07-18 14:00:00,CDP,28.0
2025-07-18,2025-07-18 15:00:00,CDP,29.0
2025-07-18,2025-07-18 16:00:00,CDP,29.0
2025-07-18,2025-07-18 17:00:00,CDP,29.0
2025-07-18,2025-07-18 18:00:00,CDP,28.0
2025-07-18,2025-07-18 19:00:00,CDP,28.0
2025-07-18,2025-07-18 20:00:00,CDP,26.0
2025-07-18,2025-07-18 21:00:00,CDP,26.0
2025-07-18,2025-07-18 22:00:00,CDP,26.0
2025-07-18,2025-07-18 23:00:00,CDP,25.0
2025-07-19,2025-07-19 00:00:00,CDP,9.0
2025-07-19,2025-07-19 01:00:00,CDP,10.0
2025-07-19,2025-07-19 02:00:00,CDP,10.0
2025-07-19,2025-07-19 03:00:00,CDP,9.0
2025-07-19,2025-07-19 04:00:00,CDP,9.0
2025-07-19,2025-07-19 05:00:00,CDP,10.0
2025-07-19,2025-07-19 06:00:00,CDP,10.0
2025-07-19,2025-07-19 07:00:00,CDP,10.0
2025-07-19,2025-07-19 08:00:00,CDP,10.0
